date,uk_gilts,global_equities,uk_equities,investment_grade_bonds,cash,gold,fx_usd_vs_gbp
2014-01-31,8.61240196,26.06001526,17.94801331,84.68502808,44.30745860,72.78894803,0.60612000
2014-02-28,8.62756634,27.09837440,18.82045746,84.96710205,43.80311937,76.45586242,0.59908996
2014-03-31,8.69249535,27.03880528,18.92381859,85.98604584,43.44926337,73.47131237,0.59438000
2014-04-30,8.77101326,27.46603332,19.14407349,87.07506561,43.61812389,74.12083135,0.59668999
2014-05-31,8.72122097,27.56477067,18.94170952,86.87228394,42.91416837,70.69963295,0.58705997
2014-06-30,8.80165291,28.27153383,18.90585518,87.20009613,43.21904690,75.71772715,0.59135997
2014-07-31,9.10040474,28.39956064,19.28316307,90.01473236,44.04113539,74.37208795,0.60274000
2014-08-31,9.04678249,29.75659298,18.78103065,89.62260437,44.99645562,76.25812532,0.61568000
2014-09-30,9.16300488,29.20355769,18.56063271,90.02494812,45.67467602,72.62660021,0.62495999
2014-11-30,9.43996716,30.70670594,19.15728378,92.36389160,46.79945878,71.80533143,0.64048997
2014-12-31,9.60653019,30.06747429,18.73856735,93.72703552,46.92144539,72.95243894,0.64230003
2015-01-31,10.04424953,30.65429537,19.19475746,99.52044678,48.46467541,81.91771047,0.66356997
2015-02-28,9.62977600,31.57178581,19.79508591,95.94107819,47.30924400,75.24264240,0.64775000
2015-03-31,9.61426926,31.13303690,20.03027153,94.91390991,47.34357165,73.67668854,0.64822001
2015-04-30,9.65144253,32.25051488,20.21550179,95.25316620,47.66619182,74.07094616,0.65277999
2015-05-31,9.48416328,31.40420908,19.02687263,91.81076813,46.40518886,72.52766218,0.63564998
2015-06-30,9.62405014,30.84477878,19.45421982,94.15814972,46.78481277,72.01231675,0.64085000
2015-07-31,9.65034866,31.47461396,18.31785774,92.71945190,47.34986855,68.05655283,0.64859004
2015-08-31,9.78057289,29.83554784,17.74317932,92.74787903,48.16240582,71.79073323,0.65972003
2015-09-30,9.65144253,28.30390551,18.63205719,92.84665680,47.29558041,69.25917310,0.64813001
2015-11-30,9.75760460,31.09445855,18.72700119,94.88562775,48.52224669,67.77068556,0.66494002
2015-12-31,9.63504219,30.89105803,18.46319962,93.62139893,49.23098150,68.46520596,0.67479999
2016-01-31,9.99482632,30.42994703,17.97490311,94.32587433,51.22295347,75.07355172,0.70195001
2016-02-29,10.12924862,30.88264237,18.10027313,93.59648132,52.64226502,85.58689548,0.72140000
2016-03-31,9.99877739,31.45282177,18.67211151,98.02441406,49.92258637,80.48105502,0.68413002
2016-04-30,10.18505192,31.83447921,18.68044090,98.93570709,49.88311635,84.48881116,0.68329001
2016-05-31,10.75000000,34.71437150,19.59405327,102.54719543,54.21446087,86.18847494,0.74262000
2016-06-30,10.94363880,35.35217803,20.30942154,107.85575867,55.22588098,95.69225998,0.75663999
2016-07-31,11.22910976,37.03703253,20.66288376,111.57315826,55.78020726,98.52781645,0.76389998
2016-08-31,10.99953651,37.52885869,20.98723602,109.46926117,56.32785689,96.25528435,0.77139995
2016-09-30,10.55835629,40.19925551,21.14778709,104.72650909,59.78748780,102.84889845,0.81859996
2016-11-30,10.41132450,38.95787650,20.70372391,103.03630066,58.45274878,89.45587068,0.80049996
2016-12-31,10.63095570,40.21211609,21.85496330,106.15158081,59.18638136,88.82466198,0.81037005
2017-01-31,10.42946053,40.85149231,21.77068901,104.60691071,58.45461426,92.44000244,0.80000000
2017-02-28,10.73372078,42.08213637,22.38642120,107.43212128,58.76909943,95.84899889,0.80389999
2017-03-31,10.80223083,41.02505815,22.37995911,108.10848236,56.52219665,91.80617279,0.77329996
2017-04-30,10.83782387,42.08546092,23.43292618,109.83760834,57.10558324,94.28514259,0.78070005
2017-05-31,10.63241577,42.34681324,22.86991501,108.44440460,56.22690119,92.70491561,0.76857000
2017-06-30,10.67308998,42.24589635,23.07065010,109.60502625,55.71203726,89.78371598,0.76075003
2017-07-31,10.86426449,44.15419878,23.41225815,110.60942841,56.69805541,93.45566969,0.77396000
2017-08-31,10.58767223,42.75564664,23.22556496,108.42566681,54.74494723,93.91833781,0.74644999
2017-09-30,10.61614704,44.16697857,23.70631409,108.87516785,55.54852548,92.01904175,0.75686001
2017-11-30,10.63939285,45.32571445,23.23980904,108.56053162,54.76903826,90.25704099,0.74531001
2017-12-31,10.77820110,45.64685553,24.44822884,110.65673065,54.40899367,91.48368854,0.73985999
2018-01-31,10.56590366,46.06851895,23.89258766,109.76688385,52.01805603,90.17451166,0.70641998
2018-02-28,10.60672951,44.79744719,23.13619614,108.34919739,52.99649558,89.88875005,0.71911000
2018-03-31,10.70879745,44.55922627,24.20520782,108.88227081,53.58571075,91.34366371,0.72615997
2018-04-30,10.87209892,46.38140418,24.87867737,108.54830933,55.61001524,93.79259792,0.75281002
2018-05-31,10.81455326,46.85982762,24.86422348,108.18699646,56.00331511,93.18670231,0.75700003
2018-06-30,10.78577900,46.85017689,25.28425217,108.54621887,56.40520297,90.32824754,0.76130001
2018-07-31,10.80633354,48.74798633,24.37999535,109.23410034,57.02364357,89.14759258,0.76858000
2018-08-31,10.63163853,49.01177930,24.68084908,108.03337097,57.02637385,87.10758099,0.76740005
