period,portfolio,cumulative_return,worst_month,observations
Full sample,Growth,1.990029,-0.054816,140
Full sample,Balanced,1.145735,-0.043799,140
Full sample,Capital Preservation,0.619164,-0.040492,140
COVID shock,Growth,-0.029147,-0.054349,3
COVID shock,Balanced,-0.001222,-0.020408,3
COVID shock,Capital Preservation,0.026124,-0.003869,3
Rates & inflation,Growth,0.050035,-0.054816,22
Rates & inflation,Balanced,-0.015913,-0.035175,22
Rates & inflation,Capital Preservation,-0.055083,-0.040492,22
Recent,Growth,0.408835,-0.052230,31
Recent,Balanced,0.254054,-0.043799,31
Recent,Capital Preservation,0.134865,-0.034496,31
