date,uk_10y_gilt_yield_pct
2014-01-31,2.750000
2014-02-28,2.753615
2014-03-31,2.663813
2014-04-30,2.598375
2014-05-31,2.615258
2014-06-30,2.588806
2014-07-31,2.488958
2014-08-31,2.452313
2014-09-30,2.472778
2014-11-30,2.375741
2014-12-31,2.281501
2015-01-31,2.274083
2015-02-28,2.283983
2015-03-31,2.199732
2015-04-30,2.126579
2015-05-31,2.139899
2015-06-30,2.122081
2015-07-31,2.023570
2015-08-31,1.977947
2015-09-30,1.999388
2015-11-30,1.911077
2015-12-31,1.813613
2016-01-31,1.726410
2016-02-29,1.673031
2016-03-31,1.523431
2016-04-30,1.373763
2016-05-31,1.310443
2016-06-30,1.231224
2016-07-31,1.063470
2016-08-31,0.937107
2016-09-30,0.888612
2016-11-30,0.796844
2016-12-31,0.758910
2017-01-31,0.796619
2017-02-28,0.871415
2017-03-31,0.862558
2017-04-30,0.835928
2017-05-31,0.900132
2017-06-30,0.957492
2017-07-31,0.926992
2017-08-31,0.925461
2017-09-30,1.004324
2017-11-30,1.054878
2017-12-31,1.016332
2018-01-31,1.045235
2018-02-28,1.122912
2018-03-31,1.122119
2018-04-30,1.090530
2018-05-31,1.147948
2018-06-30,1.212015
2018-07-31,1.186573
2018-08-31,1.177031
2018-09-30,1.252901
2018-11-30,1.312237
2018-12-31,1.274421
2019-01-31,1.219351
2019-02-28,1.230864
2019-03-31,1.163630
2019-04-30,1.055670
2019-05-31,1.030498
2019-06-30,1.027724
2019-07-31,0.933385
2019-08-31,0.841524
2019-09-30,0.840589
2019-11-30,0.760742
2019-12-31,0.649978
2020-01-31,0.585975
2020-02-29,0.596010
2020-03-31,0.537647
2020-04-30,0.427154
2020-05-31,0.393765
2020-06-30,0.395640
2020-07-31,0.308321
2020-08-31,0.210001
2020-09-30,0.298556
2020-11-30,0.419399
2020-12-31,0.409978
2021-01-31,0.435283
2021-02-28,0.534471
2021-03-31,0.583094
2021-04-30,0.566227
2021-05-31,0.622178
2021-06-30,0.722352
2021-07-31,0.740816
2021-08-31,0.735046
2021-09-30,0.817231
2021-11-30,0.945173
2021-12-31,0.940292
2022-01-31,1.270462
2022-02-28,1.650071
2022-03-31,2.020718
2022-04-30,2.307002
2022-05-31,2.667167
2022-06-30,3.072554
2022-07-31,3.412509
2022-08-31,3.715540
2022-09-30,4.093516
2022-11-30,4.066564
2022-12-31,3.985460
2023-01-31,3.912976
2023-02-28,3.932137
2023-03-31,3.916383
2023-04-30,3.821864
2023-05-31,3.778054
2023-06-30,3.802038
2023-07-31,3.755747
2023-08-31,3.660664
2023-09-30,3.648429
2023-11-30,3.626639
2023-12-31,3.552158
2024-01-31,3.544039
2024-02-29,3.623784
2024-03-31,3.687384
2024-04-30,3.664561
2024-05-31,3.683156
2024-06-30,3.775592
2024-07-31,3.809491
2024-08-31,3.783819
2024-09-30,3.832036
2024-11-30,3.954427
2024-12-31,3.958632
2025-01-31,3.944584
2025-02-28,4.017311
2025-03-31,4.088367
2025-04-30,4.069546
2025-05-31,4.079653
2025-06-30,4.170274
2025-07-31,4.213129
2025-08-31,4.186964
2025-09-30,4.226353
2025-11-30,4.351511
2025-12-31,4.363832
2026-01-31,4.294012
2026-02-28,4.313890
2026-03-31,4.340661
2026-04-30,4.277726
2026-05-31,4.228964
2026-06-30,4.267211
2026-07-31,4.267908
2026-08-31,4.191680
2026-09-30,4.172824
